Question ID: 1; Prediction: b; Correct Answer: c; [[-934.96529606564036], [-920.06105536259679], [-983.75811539794893], [-972.30237719994318], [-973.40980363812582]]; False.
Question ID: 260; Prediction: d; Correct Answer: a; [[-956.91219319988818], [-1018.3206787972], [-1015.363180369028], [-874.57772509475478], [-979.65039079514258]]; False.
Question ID: 261; Prediction: d; Correct Answer: a; [[-930.26117081677467], [-929.0789310771936], [-851.85146247052398], [-721.73423822772872], [-880.76439208214106]]; False.
Question ID: 262; Prediction: d; Correct Answer: c; [[-942.4736702519217], [-945.40764717686307], [-939.59453362786826], [-844.64711369414465], [-950.14892938335549]]; False.
Question ID: 263; Prediction: c; Correct Answer: b; [[-881.68117518175814], [-878.31859947326791], [-776.52651692380152], [-826.41575559950456], [-903.92886712633265]]; False.
Question ID: 264; Prediction: c; Correct Answer: e; [[-1201.6225383435446], [-1136.5383702769964], [-1043.05755823304], [-1197.2877992428853], [-1114.8582002262931]]; False.
Question ID: 265; Prediction: a; Correct Answer: c; [[-1280.7472737034002], [-1359.1117927517291], [-1310.7025036508853], [-1336.6973925193488], [-1298.9575978773908]]; False.
Question ID: 266; Prediction: a; Correct Answer: e; [[-857.76161684159376], [-935.62588630795278], [-896.11650900894779], [-926.77547755412752], [-950.27111342174703]]; False.
Question ID: 267; Prediction: a; Correct Answer: d; [[-863.72969693603545], [-965.54377912890607], [-864.87703207007087], [-902.83516502061332], [-1018.7860677093345]]; False.
Question ID: 268; Prediction: c; Correct Answer: a; [[-853.57474208236374], [-896.74186307769412], [-712.9336000965726], [-889.95638552402488], [-967.06543637515915]]; False.
Question ID: 269; Prediction: e; Correct Answer: c; [[-692.62889561387681], [-656.83774413541539], [-566.32484935007949], [-634.09341955225273], [-522.37551048559749]]; False.
Question ID: 270; Prediction: d; Correct Answer: c; [[-977.13322813498678], [-972.44395995773937], [-955.56408050041637], [-945.70994358226699], [-981.05863158966338]]; False.
Question ID: 271; Prediction: c; Correct Answer: a; [[-1078.5803839510893], [-1006.1417465779465], [-963.10674476131544], [-1034.5053269051027], [-964.97157919860445]]; False.
Question ID: 272; Prediction: a; Correct Answer: d; [[-933.22105517210832], [-935.73460319952289], [-952.46774324711703], [-958.88053390595985], [-1066.3639158678261]]; False.
Question ID: 273; Prediction: d; Correct Answer: d; [[-1088.6160191806182], [-979.26856755327788], [-1072.5224785509597], [-856.98084191559838], [-1039.00822390864]]; True.
Question ID: 274; Prediction: b; Correct Answer: a; [[-1042.3765999530644], [-944.71594848813857], [-1025.0288147997328], [-1002.2733247109877], [-1103.7991132870911]]; False.
Question ID: 275; Prediction: a; Correct Answer: e; [[-875.80139250994091], [-1080.7485676963395], [-954.67267619008499], [-993.17566588440673], [-1005.6377106475505]]; False.
Question ID: 276; Prediction: d; Correct Answer: b; [[-997.27821595873104], [-931.3244365055732], [-912.69362066777205], [-898.47403592914918], [-936.2594213635706]]; False.
Question ID: 277; Prediction: d; Correct Answer: b; [[-1057.7229945101592], [-1004.1384727820994], [-968.38319993596849], [-886.50626223223946], [-964.39347111557561]]; False.
Question ID: 278; Prediction: d; Correct Answer: c; [[-862.98215109712089], [-796.46641791037337], [-811.03111183158228], [-658.68682961022239], [-810.19284143488733]]; False.
Question ID: 279; Prediction: d; Correct Answer: b; [[-967.47305160924998], [-943.87278559427477], [-807.43198732454402], [-770.72228922617035], [-836.30864682840991]]; False.
Question ID: 280; Prediction: c; Correct Answer: a; [[-1128.6719057584551], [-1175.5731917344481], [-1088.2399979820016], [-1171.9331567382419], [-1127.4727196881697]]; False.
Question ID: 281; Prediction: a; Correct Answer: e; [[-535.9103768653431], [-682.67902471297987], [-643.89977066335507], [-743.80674422408686], [-687.93101548894492]]; False.
Question ID: 282; Prediction: e; Correct Answer: d; [[-769.28617393598643], [-734.18872708871595], [-754.44908008709308], [-800.89098955174222], [-729.25021118193536]]; False.
Question ID: 283; Prediction: c; Correct Answer: d; [[-1058.9164965440959], [-1068.4679647891658], [-1058.4385610430199], [-1173.8457401687378], [-1117.2856808871527]]; False.
Question ID: 284; Prediction: b; Correct Answer: e; [[-773.27371942290176], [-677.02780481074467], [-885.22976188744383], [-786.41974484019897], [-788.6111796942472]]; False.
Question ID: 285; Prediction: b; Correct Answer: c; [[-978.4354129386212], [-882.72003486504093], [-915.18927624871003], [-931.2792397417636], [-900.67696500807051]]; False.
Question ID: 286; Prediction: b; Correct Answer: e; [[-619.4982862498872], [-594.3064973822776], [-660.05445656357529], [-664.98821458069517], [-645.81041250754902]]; False.
Question ID: 287; Prediction: c; Correct Answer: b; [[-817.14186306132615], [-784.40698622097318], [-605.06773527828784], [-730.15632814243372], [-672.7324258856745]]; False.
Question ID: 288; Prediction: e; Correct Answer: d; [[-921.43803093818235], [-965.88368790915604], [-998.82959491446843], [-871.17520014690524], [-870.93567353746596]]; False.
Question ID: 289; Prediction: b; Correct Answer: b; [[-1018.9668501811542], [-988.46607176389523], [-1100.4621419259861], [-1101.5704391290126], [-1104.7089208296602]]; True.
Question ID: 290; Prediction: e; Correct Answer: b; [[-867.77505701323753], [-886.62081215506078], [-886.86582852150741], [-890.29502925401789], [-787.78392510158881]]; False.
Question ID: 291; Prediction: d; Correct Answer: a; [[-1110.5476035461486], [-1092.5510434700814], [-1036.1925229191675], [-1029.4278363941446], [-1073.4009737896738]]; False.
Question ID: 292; Prediction: d; Correct Answer: b; [[-1117.8086617742883], [-1182.6972411487425], [-1117.2935813538693], [-1066.1474984151762], [-1171.5048060841339]]; False.
Question ID: 293; Prediction: e; Correct Answer: b; [[-767.36228944059656], [-838.01883134864113], [-817.84660741352945], [-765.26355513071292], [-715.27621589680916]]; False.
Question ID: 294; Prediction: d; Correct Answer: b; [[-660.74003129092159], [-702.74401317291131], [-633.44515751491838], [-571.85496629683655], [-601.41613691446912]]; False.
Question ID: 295; Prediction: c; Correct Answer: a; [[-1160.4604448805835], [-1088.5519905079216], [-941.07172301917478], [-1056.4165692869005], [-1111.7695122401112]]; False.
Question ID: 296; Prediction: a; Correct Answer: e; [[-659.99882773701938], [-792.0556589206783], [-743.05884305680593], [-803.46112494233705], [-807.57998844349015]]; False.
Question ID: 297; Prediction: d; Correct Answer: a; [[-580.75741555894786], [-421.73912419684734], [-524.53239861711882], [-401.6288873827051], [-571.18055913565911]]; False.
Question ID: 298; Prediction: a; Correct Answer: b; [[-802.41688693765911], [-864.59238967635065], [-820.61571210027432], [-940.78092731478603], [-876.96464973060517]]; False.
Question ID: 299; Prediction: b; Correct Answer: c; [[-995.34746975544726], [-921.97376913183109], [-983.53673982329872], [-973.74329620227627], [-1011.8444614947153]]; False.
Question ID: 300; Prediction: d; Correct Answer: a; [[-922.75839359137001], [-924.97898058138003], [-860.91256382044219], [-590.90078589897951], [-857.91050226095467]]; False.
Question ID: 301; Prediction: c; Correct Answer: a; [[-948.32581896743716], [-917.67818595306903], [-836.96740749788489], [-912.73971801839718], [-893.96161487066991]]; False.
Question ID: 302; Prediction: b; Correct Answer: a; [[-1083.9771635517816], [-1007.6032173419442], [-1084.0418916602505], [-1027.7235621747229], [-1052.375264871328]]; False.
Question ID: 303; Prediction: d; Correct Answer: c; [[-1180.4358384172965], [-1174.5898136149756], [-1168.051254748251], [-1117.7286514616414], [-1193.8577891334346]]; False.
Question ID: 304; Prediction: e; Correct Answer: b; [[-883.27930693909389], [-922.98314848606901], [-992.29982029135351], [-1000.6010712221475], [-873.28232621015047]]; False.
Question ID: 305; Prediction: d; Correct Answer: e; [[-910.87785797933566], [-852.56831093853475], [-942.79643755985262], [-788.31942164670568], [-986.90848608623628]]; False.
Question ID: 306; Prediction: d; Correct Answer: e; [[-971.28946407560886], [-967.78202723212814], [-913.89799651669875], [-831.34985612233925], [-929.65872617653986]]; False.
Question ID: 307; Prediction: e; Correct Answer: a; [[-1043.2079951081007], [-958.77491499307132], [-901.4031518048987], [-918.86934255864253], [-841.0181422254899]]; False.
Question ID: 308; Prediction: b; Correct Answer: a; [[-634.79888494429667], [-615.58846338201715], [-704.4472121797769], [-712.69302564359191], [-767.96452028874603]]; False.
Question ID: 309; Prediction: a; Correct Answer: b; [[-611.55268717617537], [-744.40077456441941], [-664.72675097814158], [-631.82548691205773], [-797.04628572494119]]; False.
Question ID: 310; Prediction: b; Correct Answer: a; [[-765.76148602168735], [-743.04647410182838], [-791.32505191807354], [-819.39933897442734], [-812.92800323367908]]; False.
Question ID: 311; Prediction: d; Correct Answer: a; [[-941.80068339058573], [-884.10201119585304], [-875.4013476607272], [-755.56111384096164], [-952.75401683832058]]; False.
Question ID: 312; Prediction: c; Correct Answer: c; [[-987.09557948396036], [-1040.3587235507862], [-909.5239334616499], [-954.57560131802529], [-997.77105862089002]]; True.
Question ID: 313; Prediction: e; Correct Answer: e; [[-864.0989239871169], [-887.32443502519754], [-926.25457730514313], [-907.94092039114605], [-758.36458436359101]]; True.
Question ID: 314; Prediction: c; Correct Answer: e; [[-989.16371497408977], [-1008.5806669321342], [-897.19240661643278], [-964.17278636705601], [-987.87680746961848]]; False.
Question ID: 315; Prediction: b; Correct Answer: c; [[-866.25104900264978], [-835.48120964890404], [-933.71566819136046], [-895.67204478846236], [-838.3696304337883]]; False.
Question ID: 316; Prediction: d; Correct Answer: e; [[-911.64109902802636], [-877.09425823209472], [-954.32132728783324], [-855.59546085732245], [-882.98884441443931]]; False.
Question ID: 317; Prediction: e; Correct Answer: e; [[-925.43156578833668], [-894.29032475923373], [-996.35645673568649], [-954.2998154286887], [-893.09039896736556]]; True.
Question ID: 318; Prediction: b; Correct Answer: a; [[-963.38617944800069], [-946.82192171912607], [-1048.1991323634111], [-994.94844270846795], [-1041.2635262927929]]; False.
Question ID: 319; Prediction: b; Correct Answer: c; [[-946.90777752849931], [-787.43644913208129], [-867.55738720776412], [-844.70136242894159], [-851.79832902577414]]; False.
Question ID: 320; Prediction: a; Correct Answer: b; [[-753.49566517667517], [-778.16414195224445], [-839.92510032255836], [-812.31822591474042], [-862.49657378756945]]; False.
Question ID: 321; Prediction: b; Correct Answer: c; [[-893.15788220137301], [-876.10797619313223], [-890.25853389873362], [-1004.941025038289], [-953.7501386121595]]; False.
Question ID: 322; Prediction: e; Correct Answer: d; [[-689.2859112785535], [-641.65922134769858], [-679.50180194283291], [-744.17383442520224], [-618.78086024760023]]; False.
Question ID: 323; Prediction: a; Correct Answer: b; [[-877.39369002341778], [-912.85648671612898], [-1026.4961276246552], [-1013.9471629039565], [-989.94524584890326]]; False.
Question ID: 324; Prediction: b; Correct Answer: b; [[-857.26066918192782], [-745.25673985907611], [-862.36298521033302], [-832.36204749364845], [-832.04248982096249]]; True.
Question ID: 325; Prediction: c; Correct Answer: c; [[-985.57416492194045], [-858.13627610493711], [-693.49795973482708], [-839.82674768877484], [-902.23147940103422]]; True.
Question ID: 326; Prediction: a; Correct Answer: a; [[-666.602025233321], [-822.84662966844348], [-733.08006890397951], [-737.80619921587618], [-674.3264440352126]]; True.
Question ID: 327; Prediction: b; Correct Answer: b; [[-1097.3298396538491], [-1045.057311801316], [-1139.6737534041861], [-1046.1698148551304], [-1069.4706718640516]]; True.
Question ID: 328; Prediction: c; Correct Answer: e; [[-630.06524488362868], [-531.82778338885544], [-496.36917006272199], [-587.29220350919627], [-593.0063123434395]]; False.
Question ID: 329; Prediction: b; Correct Answer: e; [[-724.68299599603199], [-612.4567844054493], [-717.37542371656571], [-705.13684205845482], [-742.64906594463753]]; False.
Question ID: 330; Prediction: d; Correct Answer: b; [[-897.47843183972952], [-877.78808909686859], [-889.36874265300844], [-797.49449512172225], [-874.04993680089194]]; False.
Question ID: 331; Prediction: b; Correct Answer: d; [[-657.76916884786078], [-634.66207301042414], [-732.28657390752153], [-760.99325753026301], [-713.11708229299074]]; False.
Question ID: 332; Prediction: a; Correct Answer: e; [[-568.02262400008158], [-589.18943627251201], [-620.38624211948309], [-570.05956038807892], [-668.70788913468687]]; False.
Question ID: 333; Prediction: c; Correct Answer: d; [[-857.1993671488716], [-888.91255512811279], [-767.69144557091897], [-906.04438110967624], [-858.21721510244515]]; False.
Question ID: 334; Prediction: e; Correct Answer: d; [[-1161.0354038324926], [-1142.4653598841389], [-1160.9825011888149], [-1158.2801826710611], [-1017.7603358422135]]; False.
Question ID: 335; Prediction: e; Correct Answer: b; [[-918.58590127999923], [-821.56334970620185], [-885.91500552911157], [-946.06398439425925], [-762.79068941122728]]; False.
Question ID: 336; Prediction: c; Correct Answer: a; [[-1197.8610724012278], [-1141.4656211446427], [-1040.4865205420831], [-1235.0199780468208], [-1207.2929571479976]]; False.
Question ID: 337; Prediction: d; Correct Answer: c; [[-854.07528350519362], [-689.06863031269916], [-714.20666682589081], [-686.80807543150252], [-805.56588347513525]]; False.
Question ID: 338; Prediction: c; Correct Answer: d; [[-964.7290943767681], [-953.83203434604411], [-924.58291966175216], [-996.38344694049215], [-996.34734327178421]]; False.
Question ID: 339; Prediction: c; Correct Answer: d; [[-947.25593111655348], [-999.25100537989772], [-928.49941861692332], [-969.18686657571084], [-976.61765974933076]]; False.
Question ID: 340; Prediction: a; Correct Answer: c; [[-815.73729869556496], [-868.9148203275065], [-879.0796089827312], [-833.9810213886708], [-859.43502907373465]]; False.
Question ID: 341; Prediction: e; Correct Answer: c; [[-1098.6929002867787], [-1173.9185914278448], [-1108.5324056442928], [-1147.8735383881242], [-971.77917526087379]]; False.
Question ID: 342; Prediction: e; Correct Answer: b; [[-1129.7557218779536], [-1198.7655498071622], [-1242.1764950717718], [-1237.0934808383108], [-1094.3285060124326]]; False.
Question ID: 343; Prediction: e; Correct Answer: c; [[-1253.6421080989687], [-1246.6790505116446], [-1189.9782745392556], [-1266.9356170809554], [-1022.4242306207193]]; False.
Question ID: 344; Prediction: e; Correct Answer: b; [[-617.11599693845722], [-695.40765850685898], [-635.93747390508133], [-694.36911476496505], [-601.34793546056267]]; False.
Question ID: 345; Prediction: b; Correct Answer: d; [[-1261.315991346929], [-1140.6377743052637], [-1233.8062620940605], [-1199.0376613232286], [-1230.1272635444554]]; False.
Question ID: 346; Prediction: a; Correct Answer: c; [[-680.85549213331467], [-740.96482022586736], [-802.85904022184809], [-785.16376171357069], [-752.1611605358421]]; False.
Question ID: 347; Prediction: c; Correct Answer: d; [[-924.67343584651394], [-948.88476962889229], [-907.24830503781072], [-925.88817782212993], [-953.27645181812852]]; False.
Question ID: 348; Prediction: b; Correct Answer: d; [[-1182.7579527359928], [-1125.8142886533053], [-1138.927434992205], [-1231.7308483606557], [-1182.0394086042243]]; False.
Question ID: 349; Prediction: a; Correct Answer: b; [[-778.88098140009367], [-825.28341281462883], [-866.23561496714115], [-864.16305044969556], [-911.47789573209479]]; False.
Question ID: 350; Prediction: a; Correct Answer: e; [[-915.85596995612752], [-1001.875350437756], [-996.71555893517711], [-1036.1398078846307], [-1051.4461271808511]]; False.
Question ID: 351; Prediction: a; Correct Answer: e; [[-697.19343102671655], [-832.79429199638776], [-797.97306697423869], [-850.75727609425633], [-906.31082949489416]]; False.
Question ID: 352; Prediction: e; Correct Answer: c; [[-951.59981902198547], [-868.57007734264084], [-953.6152393239355], [-975.70743253565934], [-699.248506499418]]; False.
Question ID: 353; Prediction: e; Correct Answer: b; [[-775.7032142175832], [-798.52595633370765], [-744.3136563412545], [-810.85380423433196], [-711.93544553978211]]; False.
Question ID: 354; Prediction: a; Correct Answer: e; [[-979.39704880359966], [-1124.2219227258795], [-1049.2385275240206], [-1032.6286590952993], [-1043.2123214521266]]; False.
Question ID: 355; Prediction: c; Correct Answer: d; [[-842.22812996179437], [-1016.7595992505418], [-680.12870330201588], [-1030.2207542146114], [-944.09842116071525]]; False.
Question ID: 356; Prediction: b; Correct Answer: a; [[-655.6631156119272], [-626.85477966727854], [-775.11916811890978], [-702.23185405498964], [-660.95951726298631]]; False.
Question ID: 357; Prediction: c; Correct Answer: e; [[-1187.459238369355], [-1231.4887781259449], [-1122.6979579383624], [-1149.9741121299189], [-1272.4281406356222]]; False.
Question ID: 358; Prediction: d; Correct Answer: b; [[-937.55664736301674], [-918.85086427789099], [-912.31876166742074], [-880.03004621259856], [-881.49562557617242]]; False.
Question ID: 359; Prediction: e; Correct Answer: a; [[-1003.6890513650636], [-875.67775210411128], [-992.79152353858103], [-915.13350704531751], [-851.01549029691159]]; False.
Question ID: 360; Prediction: d; Correct Answer: b; [[-823.9993347285972], [-828.72116019033581], [-770.53475904527488], [-758.02036950555998], [-786.43736500218256]]; False.
Question ID: 361; Prediction: b; Correct Answer: e; [[-1148.1432238900538], [-1116.2971943690789], [-1234.3881518612643], [-1157.1449612404883], [-1220.3644647524243]]; False.
Question ID: 362; Prediction: a; Correct Answer: a; [[-963.64759421986116], [-1133.7216517854549], [-1022.024065491086], [-978.96492467067401], [-1086.2683242436283]]; True.
Question ID: 363; Prediction: c; Correct Answer: b; [[-729.51102182631314], [-707.26676303424858], [-672.49823912859483], [-815.19513006022225], [-895.18275426002958]]; False.
Question ID: 364; Prediction: b; Correct Answer: d; [[-954.44787367094625], [-906.17722709108057], [-954.60809142714663], [-966.48457162511261], [-966.04976323391497]]; False.
Question ID: 365; Prediction: a; Correct Answer: e; [[-1053.8247684807118], [-1139.6982102119557], [-1117.1349045961247], [-1145.7434787214172], [-1124.9338549386562]]; False.
Question ID: 366; Prediction: b; Correct Answer: c; [[-829.72934681919787], [-642.37161939472378], [-786.62162001197828], [-717.46461340788801], [-809.71991458796435]]; False.
Question ID: 367; Prediction: b; Correct Answer: c; [[-545.16496983762966], [-515.87805207461167], [-599.98871758029304], [-591.73850077521081], [-575.42785940969122]]; False.
Question ID: 368; Prediction: c; Correct Answer: c; [[-731.74017520908899], [-754.24740965316926], [-705.23414713788691], [-748.7746171899056], [-714.02202802250679]]; True.
Question ID: 369; Prediction: b; Correct Answer: a; [[-1085.9686978088976], [-841.01941985371286], [-968.26184604582465], [-1032.5114975120175], [-1002.021535455515]]; False.
Question ID: 370; Prediction: a; Correct Answer: d; [[-582.64180230329805], [-608.55353725900659], [-640.7946258468894], [-647.925441425401], [-585.46308575388946]]; False.
Question ID: 371; Prediction: d; Correct Answer: e; [[-910.6798618719132], [-911.15765300903979], [-881.23957231029806], [-861.22146928789823], [-988.78550755344031]]; False.
Question ID: 372; Prediction: d; Correct Answer: a; [[-1112.963555394643], [-1016.5562786506387], [-1063.546230310335], [-973.3923816880407], [-994.13401655864936]]; False.
Question ID: 373; Prediction: b; Correct Answer: a; [[-968.65775441478763], [-783.9229601791784], [-846.05060005153291], [-964.74203853917038], [-909.02215277945118]]; False.
Question ID: 374; Prediction: e; Correct Answer: a; [[-895.94570188042928], [-907.86584868679347], [-865.24223790166025], [-893.06013553928267], [-840.21282454613959]]; False.
Question ID: 375; Prediction: c; Correct Answer: b; [[-764.81225659565757], [-723.56034910916151], [-708.35845298680829], [-780.43292745574513], [-746.58750357008523]]; False.
Question ID: 376; Prediction: c; Correct Answer: a; [[-932.95275368033288], [-990.99990322039184], [-900.88533586485028], [-1036.2956175936945], [-987.90917586852709]]; False.
Question ID: 377; Prediction: c; Correct Answer: a; [[-1231.3272541240356], [-1215.2050571552006], [-1101.8878126541344], [-1104.6348664926793], [-1179.6106116335861]]; False.
Question ID: 378; Prediction: a; Correct Answer: b; [[-416.33707645253179], [-484.24883536020252], [-570.1687695466278], [-424.20878624841652], [-505.62893296396192]]; False.
Question ID: 379; Prediction: b; Correct Answer: c; [[-689.03156522735969], [-633.25213319029717], [-681.04972607675666], [-638.34067145374001], [-657.8146189811921]]; False.
Question ID: 380; Prediction: a; Correct Answer: d; [[-840.86649456356497], [-996.10248259386879], [-945.8783435632289], [-985.9459650678059], [-887.12058813690123]]; False.
Question ID: 381; Prediction: e; Correct Answer: b; [[-957.01168109582989], [-984.43239401984647], [-865.41903672182525], [-948.24509928831367], [-837.02763519237567]]; False.
Question ID: 382; Prediction: d; Correct Answer: b; [[-922.52629862238803], [-1017.7402488217707], [-922.13320221567255], [-801.95382826013611], [-869.46135426851572]]; False.
Question ID: 383; Prediction: e; Correct Answer: a; [[-521.37857187067902], [-611.5207325798815], [-599.83560698390443], [-533.42692331707508], [-496.29751888877342]]; False.
Question ID: 384; Prediction: c; Correct Answer: b; [[-1112.4769467764672], [-1021.1440878773302], [-936.98959770715828], [-953.27359209014071], [-1012.4605952035079]]; False.
Question ID: 385; Prediction: b; Correct Answer: a; [[-785.82933945639195], [-690.6752885215825], [-774.29007971088163], [-790.6194529699718], [-703.75079281086607]]; False.
Question ID: 386; Prediction: c; Correct Answer: b; [[-1271.2763126463562], [-1190.9161072228953], [-1135.7707859982584], [-1294.4773742357379], [-1286.9866569074402]]; False.
Question ID: 387; Prediction: c; Correct Answer: a; [[-1179.0677473259968], [-991.35839294721973], [-954.30515229713717], [-1122.0174545618511], [-1146.6306459582906]]; False.
Question ID: 388; Prediction: b; Correct Answer: e; [[-770.43876512539396], [-676.51755366808356], [-722.44077645420623], [-743.95585777440647], [-770.57442627285889]]; False.
Question ID: 389; Prediction: a; Correct Answer: a; [[-815.89640282650612], [-878.01160625283876], [-844.26179054480735], [-924.22060681237315], [-915.03790513946069]]; True.
Question ID: 390; Prediction: e; Correct Answer: e; [[-951.07891989693167], [-986.98292535530584], [-915.33247678594921], [-913.57168792516256], [-898.58553898934338]]; True.
Question ID: 391; Prediction: a; Correct Answer: d; [[-611.02718089894131], [-828.22582975829005], [-776.06239746107531], [-719.97398838813274], [-871.21886613901358]]; False.
Question ID: 392; Prediction: d; Correct Answer: a; [[-701.75464684272333], [-697.61307052870279], [-646.50232506409884], [-564.02799165003535], [-716.27090076170703]]; False.
Question ID: 393; Prediction: e; Correct Answer: c; [[-737.87071343001094], [-762.86577447634374], [-665.09601360967133], [-767.91963395232438], [-575.14166258082855]]; False.
Question ID: 394; Prediction: a; Correct Answer: d; [[-595.3453736551694], [-722.78196581342559], [-792.43916623890323], [-731.86890267984984], [-641.72761368038755]]; False.
Question ID: 395; Prediction: e; Correct Answer: b; [[-935.90993223807527], [-988.69765016010717], [-884.12343062537479], [-975.92190835113695], [-853.1063564415449]]; False.
Question ID: 396; Prediction: c; Correct Answer: c; [[-897.4409976310402], [-881.22416142915404], [-638.73567441782075], [-777.35995570800776], [-778.83963097504011]]; True.
Question ID: 397; Prediction: d; Correct Answer: a; [[-725.47224787934294], [-645.65266350020408], [-640.27039682261181], [-584.07779565412397], [-738.13665153788997]]; False.
Question ID: 398; Prediction: a; Correct Answer: e; [[-916.82645724309009], [-953.74226147428442], [-942.00575980516271], [-952.92735046000394], [-1014.5672218766847]]; False.
Question ID: 399; Prediction: b; Correct Answer: c; [[-742.29959077685089], [-647.83828526936475], [-729.12613599652138], [-817.27157956245946], [-779.72418811332375]]; False.
Question ID: 400; Prediction: d; Correct Answer: a; [[-830.79464356307255], [-808.14578552535511], [-805.41626035523302], [-770.87125769997044], [-821.88674175107519]]; False.
Question ID: 401; Prediction: a; Correct Answer: d; [[-1181.6820607747404], [-1287.7999039279587], [-1260.3516021317246], [-1184.4500482364774], [-1247.8655045212806]]; False.
Question ID: 402; Prediction: b; Correct Answer: a; [[-999.83129685828692], [-888.65574110865975], [-943.75050221578897], [-899.94989847178942], [-1069.1859957530535]]; False.
Question ID: 403; Prediction: d; Correct Answer: d; [[-907.08576820046483], [-899.11379045004958], [-943.10021547570864], [-857.98398809130231], [-911.36703817298735]]; True.
Question ID: 404; Prediction: e; Correct Answer: e; [[-1056.0907904328103], [-1172.8814176648777], [-1088.0787773141735], [-1026.0685839693547], [-978.80497039626493]]; True.
Question ID: 405; Prediction: a; Correct Answer: e; [[-934.20017481196498], [-1051.4305158213681], [-994.28260805317916], [-1052.5949187274023], [-1023.845307201831]]; False.
Question ID: 406; Prediction: d; Correct Answer: d; [[-922.63480560454173], [-924.22953140995469], [-953.39682957374612], [-721.31484890052275], [-1009.7541732074671]]; True.
Question ID: 407; Prediction: a; Correct Answer: e; [[-1061.1631909071305], [-1082.5073902036054], [-1112.1880613211813], [-1079.8716991902977], [-1119.684158529458]]; False.
Question ID: 408; Prediction: a; Correct Answer: e; [[-1144.3619099554548], [-1205.0380674043402], [-1223.5708974705885], [-1155.702929851368], [-1176.3858518257077]]; False.
Question ID: 409; Prediction: b; Correct Answer: c; [[-1061.1270778496771], [-1012.029255578471], [-1069.2371533147402], [-1099.5860003174889], [-1027.2032559628897]]; False.
Question ID: 410; Prediction: d; Correct Answer: a; [[-798.76866509998001], [-796.71225063907934], [-834.37398798044342], [-743.83683674770168], [-806.27971982245163]]; False.
Question ID: 411; Prediction: b; Correct Answer: c; [[-430.21787679039176], [-343.22182973985582], [-492.02865878149072], [-398.75098820344925], [-454.01883528604992]]; False.
Question ID: 412; Prediction: d; Correct Answer: d; [[-785.10716104432606], [-906.43990687961832], [-798.63577784812753], [-744.4589859206402], [-833.26690642087806]]; True.
Question ID: 413; Prediction: e; Correct Answer: e; [[-833.85223840641413], [-858.58246998704124], [-936.92442720641088], [-827.81388570544175], [-802.34018366264775]]; True.
Question ID: 414; Prediction: d; Correct Answer: e; [[-1337.0382080539091], [-1240.2301540991298], [-1276.5415357400475], [-1208.5606142680738], [-1318.6017936936692]]; False.
Question ID: 415; Prediction: b; Correct Answer: b; [[-1052.7604599078877], [-1006.2855336988622], [-1113.079593382156], [-1096.7001350264954], [-1126.4935756977507]]; True.
Question ID: 416; Prediction: c; Correct Answer: c; [[-680.88157559565798], [-646.05605095480303], [-577.25435480721455], [-703.81166116421889], [-697.05142370270073]]; True.
Question ID: 417; Prediction: b; Correct Answer: c; [[-1106.3277647631203], [-961.1252775406582], [-1079.7132629304658], [-1065.8230758351147], [-1104.9623545490774]]; False.
Question ID: 418; Prediction: a; Correct Answer: d; [[-576.39286382712714], [-710.85412801839072], [-709.84897422173231], [-705.26544179738391], [-730.60760574365474]]; False.
Question ID: 419; Prediction: d; Correct Answer: c; [[-1030.6641065519432], [-985.00003616083268], [-1034.7742544319929], [-948.54252768968627], [-968.29828478432944]]; False.
Question ID: 420; Prediction: a; Correct Answer: d; [[-913.6386489998489], [-1035.0846853633466], [-1057.7961639576511], [-1091.4864674718551], [-1108.3534312492409]]; False.
Question ID: 421; Prediction: d; Correct Answer: d; [[-1108.0362112610878], [-1117.0756684282046], [-1075.2346300686804], [-1038.7104579681168], [-1119.3991350078709]]; True.
Question ID: 422; Prediction: a; Correct Answer: c; [[-826.32460691933693], [-1000.0879539964315], [-903.7740191799511], [-980.37474766455421], [-980.29349454037924]]; False.
Question ID: 423; Prediction: c; Correct Answer: d; [[-823.88477437550364], [-792.50409791311972], [-763.26483010810034], [-865.26494300938816], [-825.14465445802466]]; False.
Question ID: 424; Prediction: b; Correct Answer: c; [[-790.69912987820135], [-775.19136302556069], [-806.641759268736], [-804.62842215433852], [-881.20053360348913]]; False.
Question ID: 425; Prediction: a; Correct Answer: a; [[-536.74630059951176], [-641.53464521306489], [-561.15984927303407], [-579.52850062159007], [-561.39207490115029]]; True.
Question ID: 426; Prediction: d; Correct Answer: a; [[-905.63451065378524], [-810.03572178246543], [-898.39964074110424], [-733.80015940955855], [-803.29796413954193]]; False.
Question ID: 427; Prediction: b; Correct Answer: d; [[-691.85113996904045], [-584.68211288693601], [-735.23250863482076], [-626.8180370680891], [-657.20503791183739]]; False.
Question ID: 428; Prediction: d; Correct Answer: e; [[-1030.0351753554967], [-894.34034374891735], [-1018.7508576482441], [-888.54023983399043], [-1040.8874346108958]]; False.
Question ID: 429; Prediction: e; Correct Answer: e; [[-1022.9014605491301], [-1029.8725915798263], [-978.0716371426588], [-1036.5898920262384], [-972.01125798853491]]; True.
Question ID: 430; Prediction: e; Correct Answer: e; [[-1125.6463995189183], [-1163.7752718113472], [-1139.9680547546739], [-1134.8368691616286], [-1050.5002107127855]]; True.
